MoreGame,LessQuestion,LessGame,MoreQuestion
18,2,3,17
20,0,4,16
17,3,5,15
19,1,1,19
15,5,2,18
19,1,8,12
11,9,0,20
14,6,5,15
17,3,3,17
16,4,0,20
20,0,5,15
11,9,9,11
18,2,5,15
13,7,3,17
20,0,1,19
12,8,5,15
18,2,1,19
15,5,5,15
15,5,4,16
12,8,1,19
19,1,4,16
20,0,7,13
16,4,2,18
13,7,5,15
18,2,9,11
12,8,4,16
14,6,7,13
17,3,9,11
20,0,8,12
11,9,8,12
13,7,2,18
11,9,4,16
19,1,6,14
17,3,1,19
13,7,5,15
11,9,6,14
17,3,7,13
14,6,2,12
20,0,3,17
14,6,5,15
17,3,2,18
16,4,6,14
11,9,1,19
13,7,9,11
19,1,5,15
19,1,9,11
11,9,3,17
14,6,5,15
16,4,6,14
18,2,3,17
15,5,2,18
